District,Month,Cases,Year
Batticaloa,6,0,2009
Colombo,6,83,2009
Galle,6,10,2009
Gampaha,6,29,2009
Hambantota,6,7,2009
Jaffna,6,0,2009
Kalutara,6,29,2009
Kandy,6,33,2009
Kegalle,6,22,2009
Kilinochchi,6,0,2009
Kurunegala,6,7,2009
Mannar,6,0,2009
Matale,6,36,2009
Matara,6,18,2009
Monaragala,6,1,2009
Mullaitivu,6,0,2009
Nuwara Eliya,6,5,2009
Polonnaruwa,6,8,2009
Puttalam,6,2,2009
Ratnapura,6,23,2009
Trincomalee,6,6,2009
Vavuniya,6,0,2009
Ampara,7,0,2009
Anuradhapura,7,2,2009
Badulla,7,4,2009
Batticaloa,7,0,2009
Colombo,7,41,2009
Galle,7,7,2009
Gampaha,7,18,2009
Hambantota,7,3,2009
Jaffna,7,0,2009
Kalutara,7,10,2009
Kandy,7,10,2009
Kegalle,7,15,2009
Kilinochchi,7,0,2009
Kurunegala,7,7,2009
Mannar,7,0,2009
Matale,7,20,2009
Matara,7,5,2009
Monaragala,7,1,2009
Mullaitivu,7,0,2009
Nuwara Eliya,7,3,2009
Polonnaruwa,7,4,2009
Puttalam,7,16,2009
Ratnapura,7,40,2009
Trincomalee,7,0,2009
Vavuniya,7,1,2009
Ampara,8,2,2009
Anuradhapura,8,79,2009
Badulla,8,11,2009
Batticaloa,8,0,2009
Colombo,8,36,2009
Galle,8,16,2009
Gampaha,8,33,2009
Hambantota,8,3,2009
Jaffna,8,0,2009
Kalutara,8,4,2009
Kandy,8,10,2009
Kegalle,8,16,2009
Kilinochchi,8,0,2009
Kurunegala,8,14,2009
Mannar,8,0,2009
Matale,8,23,2009
Matara,8,11,2009
Monaragala,8,0,2009
Mullaitivu,8,0,2009
Nuwara Eliya,8,2,2009
Polonnaruwa,8,1,2009
Puttalam,8,4,2009
Ratnapura,8,18,2009
Trincomalee,8,1,2009
Vavuniya,8,0,2009
Ampara,9,1,2009
Anuradhapura,9,1,2009
Badulla,9,8,2009
Batticaloa,9,0,2009
Colombo,9,465,2009
Galle,9,40,2009
Gampaha,9,61,2009
Hambantota,9,6,2009
Jaffna,9,0,2009
Kalutara,9,150,2009
Kandy,9,13,2009
Kegalle,9,58,2009
Kilinochchi,9,0,2009
Kurunegala,9,15,2009
Mannar,9,0,2009
Matale,9,9,2009
Matara,9,37,2009
Monaragala,9,0,2009
Mullaitivu,9,0,2009
Nuwara Eliya,9,5,2009
Polonnaruwa,9,2,2009
Puttalam,9,8,2009
Ratnapura,9,33,2009
Trincomalee,9,0,2009
Vavuniya,9,1,2009
Ampara,10,3,2009
Anuradhapura,10,1,2009
Badulla,10,1,2009
Batticaloa,10,0,2009
Colombo,10,104,2009
Galle,10,29,2009
Gampaha,10,62,2009
Hambantota,10,15,2009
Jaffna,10,0,2009
Kalutara,10,71,2009
Kandy,10,15,2009
Kegalle,10,31,2009
Kilinochchi,10,0,2009
Kurunegala,10,20,2009
Mannar,10,0,2009
