District,Month,Cases,Year,YearMonth,Precipitation_mm,Temp_Min_C,Temp_Max_C,Soil_Moisture_0_7cm,MRiceArea,MRiceYield,SRiceArea,SRiceYield,Population,Households
Matara,8,21,2008,2008-08,171.0,23.6475,28.4975,0.4788575,"14,865","3,887","15,975","3,755",806253,195691
Monaragala,8,2,2008,2008-08,203.2,21.311,33.961,0.36305243,"25,827","3,993","13,716","4,272",428100,111097
Mullaitivu,8,0,2008,2008-08,108.200005,24.602,33.601997,0.22011827,"6,596","3,430",,,83887,22093
Nuwara Eliya,8,5,2008,2008-08,251.9,13.814,22.064,0.46391264,"5,627","3,929","2,087","3,688",707156,170844
Polonnaruwa,8,1,2008,2008-08,83.3,23.0935,36.2435,0.24964651,"55,529","4,900","54,481","4,971",393145,104787
Puttalam,8,7,2008,2008-08,119.9,24.0695,29.619501,0.29329434,"12,284","3,834","14,484","3,746",744467,192654
Ratnapura,8,7,2008,2008-08,270.2,21.079498,28.379501,0.48410484,"12,025","3,305","11,331","3,556",1069515,270830
Trincomalee,8,0,2008,2008-08,139.0,24.2695,34.4695,0.22879839,"18,987","4,381","15,296","4,504",360546,86607
Vavuniya,8,0,2008,2008-08,124.6,23.261,34.560997,0.26732123,"6,422","3,587",,,172049,39695
Ampara,9,3,2008,2008-09,43.9,23.5505,33.8005,0.28746668,"64,490","4,864","60,168","4,927",620469,152158
Anuradhapura,9,10,2008,2008-09,38.6,23.227999,33.378,0.30063194,"72,717","4,311","49,133","4,396",829754,217008
Badulla,9,20,2008,2008-09,15.9,17.911001,30.761,0.37531528,"25,331","4,094","12,746","4,605",797275,196510
Batticaloa,9,0,2008,2008-09,33.9,24.15,35.05,0.22015974,"19,134","3,661","17,728","3,943",505292,124192
Colombo,9,307,2008,2008-09,118.4,23.611,30.011,0.3599389,"3,767","3,502","3,832","3,172",2307572,540033
Galle,9,54,2008,2008-09,56.4,24.4825,29.3825,0.44624302,"14,679","3,190","14,130","3,027",1052224,258326
Gampaha,9,214,2008,2008-09,114.20001,23.574001,30.224,0.45468614,"9,360","3,495","7,501","3,243",2262655,572615
Hambantota,9,11,2008,2008-09,8.1,24.752,33.802,0.16683611,"24,234","4,762","24,500","4,725",577799,146693
Jaffna,9,0,2008,2008-09,26.900002,25.724,31.774,0.19794999,"7,566","2,887",,,580303,129794
Kalutara,9,103,2008,2008-09,118.4,23.487,29.687,0.45407087,"13,476","2,884","12,368","2,743",1195216,287087
Kandy,9,25,2008,2008-09,19.4,18.972,30.072,0.35213053,"13,476","3,764","11,629","3,895",1347697,327546
Kegalle,9,91,2008,2008-09,80.8,21.0325,29.3825,0.4488486,"7,486","3,749","7,431","3,323",830934,211538
Kilinochchi,9,0,2008,2008-09,2.1000001,25.115501,35.4155,0.16175418,"14,650","2,803",,,106687,24831
Kurunegala,9,244,2008,2008-09,70.4,22.2775,31.177502,0.41433474,"75,351","3,838","68,912","3,148",1571439,416781
Mannar,9,0,2008,2008-09,15.7,25.613,31.363,0.17636666,"4,894","3,640",,,92608,19391
Matale,9,23,2008,2008-09,37.5,21.625502,32.3755,0.29121667,"19,119","3,559","11,960","3,784",471188,121367
Matara,9,111,2008,2008-09,56.4,24.2475,29.5975,0.44572222,"14,865","3,887","15,975","3,755",806253,195691
Monaragala,9,2,2008,2008-09,119.5,20.211,35.111,0.30180416,"25,827","3,993","13,716","4,272",428100,111097
Mullaitivu,9,0,2008,2008-09,9.2,25.402,34.802,0.17049861,"6,596","3,430",,,83887,22093
Nuwara Eliya,9,2,2008,2008-09,67.6,13.364,23.414,0.42264584,"5,627","3,929","2,087","3,688",707156,170844
Polonnaruwa,9,4,2008,2008-09,13.0,23.4935,37.0435,0.26849586,"55,529","4,900","54,481","4,971",393145,104787
Puttalam,9,16,2008,2008-09,68.299995,24.8195,30.0695,0.29712498,"12,284","3,834","14,484","3,746",744467,192654
Ratnapura,9,12,2008,2008-09,111.600006,20.6795,29.329498,0.4547014,"12,025","3,305","11,331","3,556",1069515,270830
Trincomalee,9,2,2008,2008-09,17.099998,24.8195,35.2195,0.21739167,"18,987","4,381","15,296","4,504",360546,86607
Vavuniya,9,0,2008,2008-09,16.4,23.811,35.760998,0.22754166,"6,422","3,587",,,172049,39695
Ampara,10,1,2008,2008-10,154.3,22.1005,32.6005,0.32869622,"64,490","4,864","60,168","4,927",620469,152158
Anuradhapura,10,3,2008,2008-10,184.0,20.877998,34.328,0.33378226,"72,717","4,311","49,133","4,396",829754,217008
Badulla,10,6,2008,2008-10,220.9,18.061,30.411001,0.43628627,"25,331","4,094","12,746","4,605",797275,196510
